arret_id,annee,origine,taille_texte,nb_segments,has_sommaire,has_faits_procedure,has_moyens,has_motivations,has_dispositif,len_faits_procedure,len_moyens,len_motivations,len_dispositif,nb_avertissements,invariant_offsets_ok
60796a039ba5988459c49a69,2010,regles,6133,2,1,0,1,0,1,0,2201,0,3932,1,1
60796a0b9ba5988459c49a6c,2010,regles,5044,2,1,0,1,0,1,0,1219,0,3825,1,1
60796a129ba5988459c49a6f,2010,regles,6357,2,1,0,1,0,1,0,3389,0,2968,1,1
613727a4cd5801467742cfae,2010,regles,11886,2,0,0,1,0,1,0,3223,0,8663,1,1
613727a4cd5801467742cfb4,2010,regles,11868,2,0,0,1,0,1,0,3214,0,8654,1,1
613727a4cd5801467742cfb5,2010,regles,11876,2,0,0,1,0,1,0,3214,0,8662,1,1
613727a4cd5801467742cfb9,2010,regles,12617,2,0,0,1,0,1,0,3211,0,9406,1,1
613727a4cd5801467742cfdd,2010,regles,1480,2,0,0,1,0,1,0,1229,0,251,1,1
613727a4cd5801467742cfde,2010,regles,11564,2,0,0,1,0,1,0,2051,0,9513,1,1
613727a4cd5801467742cfe5,2010,regles,25065,2,0,0,1,0,1,0,7404,0,17661,1,1
613727a4cd5801467742cfeb,2010,regles,6456,2,0,0,1,0,1,0,2543,0,3913,1,1
613727a4cd5801467742cff2,2010,indetermine,8775,1,0,0,0,0,0,0,0,0,0,1,1
613727a4cd5801467742cff3,2010,indetermine,10398,1,0,0,0,0,0,0,0,0,0,1,1
613727a4cd5801467742cff6,2010,indetermine,9054,1,0,0,0,0,0,0,0,0,0,1,1
613727a6cd5801467742d07e,2010,regles,7384,2,0,0,1,0,1,0,2322,0,5062,1,1
613727a6cd5801467742d080,2010,regles,17412,2,0,0,1,0,1,0,5329,0,12083,1,1
613727a6cd5801467742d081,2010,regles,16676,2,0,0,1,0,1,0,2456,0,14220,1,1
613727a6cd5801467742d082,2010,regles,4940,2,0,0,1,0,1,0,1576,0,3364,1,1
613727a6cd5801467742d083,2010,regles,6923,2,0,0,1,0,1,0,1178,0,5745,1,1
61402996fbf17fbb32ba91c3,2010,regles,5464,2,1,0,1,0,1,0,5011,0,453,1,1
6a4f36d593c619cd1f956c6f,2026,api,2525,3,0,1,0,1,1,1453,0,373,699,0,1
6a4f36e193c619cd1f956d92,2026,api,2441,3,0,1,0,1,1,1370,0,373,698,0,1
6a4f36e693c619cd1f956e20,2026,api,3744,3,0,1,0,1,1,2242,0,661,841,0,1
6a4f36e993c619cd1f956e5e,2026,api,2940,3,0,1,0,1,1,1639,0,510,791,0,1
6a4f36f393c619cd1f956f6d,2026,api,3535,3,0,1,0,1,1,2445,0,317,773,0,1
6a4f36f593c619cd1f956fa8,2026,api,2537,3,0,1,0,1,1,1364,0,379,794,0,1
6a4f36fa93c619cd1f957029,2026,api,2611,3,0,1,0,1,1,1413,0,379,819,0,1
6a4f370e93c619cd1f95724a,2026,api,2823,3,0,1,0,1,1,1646,0,373,804,0,1
6a4f371593c619cd1f95732a,2026,api,2920,3,0,1,0,1,1,1677,0,373,870,0,1
6a4f371d93c619cd1f957404,2026,api,2486,3,0,1,0,1,1,1331,0,373,782,0,1
6a4f373493c619cd1f95781c,2026,api,2940,3,0,1,0,1,1,1711,0,379,850,0,1
6a4f373b93c619cd1f957914,2026,api,14244,5,0,1,1,1,1,4573,5351,3143,1178,0,1
6a4f374493c619cd1f957a88,2026,api,7797,7,0,1,1,1,1,2966,1535,1805,1494,0,1
6a4f374793c619cd1f957ae5,2026,api,3129,3,0,1,0,1,1,1824,0,471,834,0,1
6a4f374b93c619cd1f957ba5,2026,api,2652,3,0,1,0,1,1,1488,0,532,632,0,1
6a4f375193c619cd1f957c9c,2026,api,5997,7,0,1,1,1,1,2173,1366,1532,929,0,1
6a4f375893c619cd1f957da1,2026,api,8163,7,0,1,1,1,1,3121,1295,2293,1457,0,1
6a4f375d93c619cd1f957eac,2026,api,9003,7,0,1,1,1,1,3736,2926,1425,919,0,1
6a4f376293c619cd1f957f6b,2026,api,1902,3,0,1,0,1,1,1152,0,373,377,0,1
6a4f376793c619cd1f958031,2026,api,2024,3,0,1,0,1,1,1268,0,379,377,0,1
